train_loss,valid_loss
0.949698,1.117836
0.999072,0.665731
1.379695,0.902541
0.711191,1.305100
1.178276,1.142088
0.701372,0.652657
0.866350,0.878038
0.941555,0.850796
0.965935,0.963755
1.452816,1.125908
0.900473,1.128437
0.887025,1.090287
0.986045,1.121536
1.441521,0.623874
1.126997,0.658734
1.382719,1.126758
1.346087,1.132032
1.160498,0.650229
0.898062,0.825670
1.077568,1.286156
1.132398,1.066822
1.139895,0.877107
1.353880,1.125991
1.306506,0.902597
0.912557,1.247910
1.157479,0.866268
1.112217,1.127062
1.320372,0.848256
0.897187,0.860305
1.098557,0.806741
1.007659,0.596456
1.116224,0.995399
0.875820,0.866711
0.816454,1.065715
1.145940,0.793857
1.041323,1.144987
0.603054,0.801559
0.856850,1.022080
1.074587,1.015505
1.078183,0.845957
0.784532,0.813235
0.628008,0.667370
1.026870,0.805825
0.634107,1.015004
0.765777,0.804560
1.259239,0.876129
0.589078,0.941797
1.095995,1.027976
0.840108,0.791326
1.185351,1.165441
1.012292,0.842975
1.005336,1.011228
1.261043,0.830896
0.842643,1.235427
1.286452,0.775069
1.038894,1.001353
1.231074,1.079845
0.825409,0.751427
1.020261,1.235338
1.475696,0.888229
0.963728,0.766327
0.808751,1.129631
1.069603,0.803027
1.065416,1.462804
1.267857,1.532991
1.056503,0.806134
1.305476,0.928758
0.615417,1.041939
0.956129,0.583286
0.593296,0.933636
0.649793,0.755045
0.798523,0.562057
1.266312,1.138442
1.014383,0.991767
0.804018,0.806908
0.821079,1.059325
1.399776,0.771763
1.033340,0.554992
0.817818,0.772491
1.424692,0.922779
1.059683,1.001297
0.993576,0.787755
0.764519,0.900322
0.811841,0.557352
0.600889,0.971996
0.780413,0.839410
1.098532,0.843789
1.262355,0.631100
0.594409,1.318903
0.847937,0.973190
1.183347,1.176439
0.788151,0.753647
0.636286,0.570665
0.788440,1.003393
1.252826,0.837165
1.036141,0.967408
0.633721,1.021388
1.039671,0.872819
0.790850,0.872465
0.970708,0.914051
